Hannah Abbott
Mr. and Mrs. Ted
Tonks
Dr. Tonks
Professor Tonks
Mr. Tonks
Mrs. Tonks
Ms. Tonks
Miss Tonks
Aunt Tonks
Uncle Tonks
Mr. and Mrs. Tonks
Sybill
Dr. Sybill
Professor Sybill
Mr. Sybill
Mrs. Sybill
Ms. Sybill
Miss Sybill
Aunt Sybill
Uncle Sybill
Mr. and Mrs. Sybill
Trelawney
Dr. Trelawney
Professor Trelawney
Mr. Trelawney
Mrs. Trelawney
Ms. Trelawney
Miss Trelawney
Aunt Trelawney
Uncle Trelawney
Mr. and Mrs. Trelawney
Wilkie
Dr. Wilkie
Professor Wilkie
Mr. Wilkie
Mrs. Wilkie
Ms. Wilkie
Miss Wilkie
Aunt Wilkie
Uncle Wilkie
Mr. and Mrs. Wilkie
Twycross
Dr. Twycross
Professor Twycross
Mr. Twycross
Mrs. Twycross
Ms. Twycross
Miss Twycross
Aunt Twycross
Uncle Twycross
Mr. and Mrs. Twycross
Dolores
Dr. Dolores
Professor Dolores
Mr. Dolores
Mrs. Dolores
Ms. Dolores
Miss Dolores
Aunt Dolores
Uncle Dolores
Mr. and Mrs. Dolores
Umbridge
Dr. Umbridge
Professor Umbridge
Mr. Umbridge
Mrs. Umbridge
Ms. Umbridge
Miss Umbridge
Aunt Umbridge
Uncle Umbridge
Mr. and Mrs. Umbridge
Emmeline
Dr. Emmeline
Professor Emmeline
Mr. Emmeline
Mrs. Emmeline
Ms. Emmeline
Miss Emmeline
Aunt Emmeline
Uncle Emmeline
Mr. and Mrs. Emmeline
Vance
Dr. Vance
Professor Vance
Mr. Vance
Mrs. Vance
Ms. Vance
Miss Vance
Aunt Vance
Uncle Vance
Mr. and Mrs. Vance
Romilda
Dr. Romilda
Professor Romilda
Mr. Romilda
Mrs. Romilda
Ms. Romilda
Miss Romilda
Aunt Romilda
Uncle Romilda
Mr. and Mrs. Romilda
Vane
Dr. Vane
Professor Vane
Mr. Vane
Mrs. Vane
Ms. Vane
Miss Vane
Aunt Vane
Uncle Vane
Mr. and Mrs. Vane
Septima
Dr. Septima
Professor Septima
Mr. Septima
Mrs. Septima
Ms. Septima
Miss Septima
Aunt Septima
Uncle Septima
Mr. and Mrs. Septima
Vector
Dr. Vector
Professor Vector
Mr. Vector
Mrs. Vector
Ms. Vector
Miss Vector
Aunt Vector
Uncle Vector
Mr. and Mrs. Vector
Lord
Dr. Lord
Professor Lord
Mr. Lord
Mrs. Lord
Ms. Lord
Miss Lord
Aunt Lord
Uncle Lord
Mr. and Mrs. Lord
Voldemort
Dr. Voldemort
Professor Voldemort
Mr. Voldemort
Mrs. Voldemort
Ms. Voldemort
Miss Voldemort
Aunt Voldemort
Uncle Voldemort
Mr. and Mrs. Voldemort
(Tom
Dr. (Tom
Professor (Tom
Mr. (Tom
Mrs. (Tom
Ms. (Tom
Miss (Tom
Aunt (Tom
Uncle (Tom
Mr. and Mrs. (Tom
Marvolo
Dr. Marvolo
Professor Marvolo
Mr. Marvolo
Mrs. Marvolo
Ms. Marvolo
Miss Marvolo
Aunt Marvolo
Uncle Marvolo
Mr. and Mrs. Marvolo
Riddle)
Dr. Riddle)
Professor Riddle)
Mr. Riddle)
Mrs. Riddle)
Ms. Riddle)
Miss Riddle)
Aunt Riddle)
Uncle Riddle)
Mr. and Mrs. Riddle)
Lord Voldemort
Dr. Lord Voldemort
Professor Lord Voldemort
Mr. Lord Voldemort
Mrs. Lord Voldemort
Ms. Lord Voldemort
Miss Lord Voldemort
Aunt Lord Voldemort
Uncle Lord Voldemort
Mr. and Mrs. Lord Voldemort
Tom Marvolo Riddle
Dr. Tom Marvolo Riddle
Professor Tom Marvolo Riddle
Mr. Tom Marvolo Riddle
Mrs. Tom Marvolo Riddle
Ms. Tom Marvolo Riddle
Miss Tom Marvolo Riddle
Aunt Tom Marvolo Riddle
Uncle Tom Marvolo Riddle
Mr. and Mrs. Tom Marvolo Riddle
Myrtle
Dr. Myrtle
Professor Myrtle
Mr. Myrtle
Mrs. Myrtle
Ms. Myrtle
Miss Myrtle
Aunt Myrtle
Uncle Myrtle
Mr. and Mrs. Myrtle
Warren
Dr. Warren
Professor Warren
Mr. Warren
Mrs. Warren
Ms. Warren
Miss Warren
Aunt Warren
Uncle Warren
Mr. and Mrs. Warren
Moaning
Dr. Moaning
Professor Moaning
Mr. Moaning
Mrs. Moaning
Ms. Moaning
Miss Moaning
Aunt Moaning
Uncle Moaning
Mr. and Mrs. Moaning
Myrtle
Dr. Myrtle
Professor Myrtle
Mr. Myrtle
Mrs. Myrtle
Ms. Myrtle
Miss Myrtle
Aunt Myrtle
Uncle Myrtle
Mr. and Mrs. Myrtle
Arthur
Dr. Arthur
Professor Arthur
Mr. Arthur
Mrs. Arthur
Ms. Arthur
Miss Arthur
Aunt Arthur
Uncle Arthur
Mr. and Mrs. Arthur
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Bill
Dr. Bill
Professor Bill
Mr. Bill
Mrs. Bill
Ms. Bill
Miss Bill
Aunt Bill
Uncle Bill
Mr. and Mrs. Bill
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Charlie
Dr. Charlie
Professor Charlie
Mr. Charlie
Mrs. Charlie
Ms. Charlie
Miss Charlie
Aunt Charlie
Uncle Charlie
Mr. and Mrs. Charlie
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Fred
Dr. Fred
Professor Fred
Mr. Fred
Mrs. Fred
Ms. Fred
Miss Fred
Aunt Fred
Uncle Fred
Mr. and Mrs. Fred
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
George
Dr. George
Professor George
Mr. George
Mrs. George
Ms. George
Miss George
Aunt George
Uncle George
Mr. and Mrs. George
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Ginny
Dr. Ginny
Professor Ginny
Mr. Ginny
Mrs. Ginny
Ms. Ginny
Miss Ginny
Aunt Ginny
Uncle Ginny
Mr. and Mrs. Ginny
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Hugo
Dr. Hugo
Professor Hugo
Mr. Hugo
Mrs. Hugo
Ms. Hugo
Miss Hugo
Aunt Hugo
Uncle Hugo
Mr. and Mrs. Hugo
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Molly
Dr. Molly
Professor Molly
Mr. Molly
Mrs. Molly
Ms. Molly
Miss Molly
Aunt Molly
Uncle Molly
Mr. and Mrs. Molly
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Percy
Dr. Percy
Professor Percy
Mr. Percy
Mrs. Percy
Ms. Percy
Miss Percy
Aunt Percy
Uncle Percy
Mr. and Mrs. Percy
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Ron
Dr. Ron
Professor Ron
Mr. Ron
Mrs. Ron
Ms. Ron
Miss Ron
Aunt Ron
Uncle Ron
Mr. and Mrs. Ron
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Oliver
Dr. Oliver
Professor Oliver
Mr. Oliver
Mrs. Oliver
Ms. Oliver
Miss Oliver
Aunt Oliver
Uncle Oliver
Mr. and Mrs. Oliver
Wood
Dr. Wood
Professor Wood
Mr. Wood
Mrs. Wood
Ms. Wood
Miss Wood
Aunt Wood
Uncle Wood
Mr. and Mrs. Wood
Rose
Dr. Rose
Professor Rose
Mr. Rose
Mrs. Rose
Ms. Rose
Miss Rose
Aunt Rose
Uncle Rose
Mr. and Mrs. Rose
Weasley
Dr. Weasley
Professor Weasley
Mr. Weasley
Mrs. Weasley
Ms. Weasley
Miss Weasley
Aunt Weasley
Uncle Weasley
Mr. and Mrs. Weasley
Corban
Dr. Corban
Professor Corban
Mr. Corban
Mrs. Corban
Ms. Corban
Miss Corban
Aunt Corban
Uncle Corban
Mr. and Mrs. Corban
Yaxley
Dr. Yaxley
Professor Yaxley
Mr. Yaxley
Mrs. Yaxley
Ms. Yaxley
Miss Yaxley
Aunt Yaxley
Uncle Yaxley
Mr. and Mrs. Yaxley
Blaise
Dr. Blaise
Professor Blaise
Mr. Blaise
Mrs. Blaise
Ms. Blaise
Miss Blaise
Aunt Blaise
Uncle Blaise
Mr. and Mrs. Blaise
Zabini
Dr. Zabini
Professor Zabini
Mr. Zabini
Mrs. Zabini
Ms. Zabini
Miss Zabini
Aunt Zabini
Uncle Zabini
Mr. and Mrs. Zabini
Aragog
Dr. Aragog
Professor Aragog
Mr. Aragog
Mrs. Aragog
Ms. Aragog
Miss Aragog
Aunt Aragog
Uncle Aragog
Mr. and Mrs. Aragog
Bane
Dr. Bane
Professor Bane
Mr. Bane
Mrs. Bane
Ms. Bane
Miss Bane
Aunt Bane
Uncle Bane
Mr. and Mrs. Bane
Beedle
Dr. Beedle
Professor Beedle
Mr. Beedle
Mrs. Beedle
Ms. Beedle
Miss Beedle
Aunt Beedle
Uncle Beedle
Mr. and Mrs. Beedle
Bard
Dr. Bard
Professor Bard
Mr. Bard
Mrs. Bard
Ms. Bard
Miss Bard
Aunt Bard
Uncle Bard
Mr. and Mrs. Bard
Bloody
Dr. Bloody
Professor Bloody
Mr. Bloody
Mrs. Bloody
Ms. Bloody
Miss Bloody
Aunt Bloody
Uncle Bloody
Mr. and Mrs. Bloody
Baron
Dr. Baron
Professor Baron
Mr. Baron
Mrs. Baron
Ms. Baron
Miss Baron
Aunt Baron
Uncle Baron
Mr. and Mrs. Baron
Bogrod
Dr. Bogrod
Professor Bogrod
Mr. Bogrod
Mrs. Bogrod
Ms. Bogrod
Miss Bogrod
Aunt Bogrod
Uncle Bogrod
Mr. and Mrs. Bogrod
Buckbeak
Dr. Buckbeak
Professor Buckbeak
Mr. Buckbeak
Mrs. Buckbeak
Ms. Buckbeak
Miss Buckbeak
Aunt Buckbeak
Uncle Buckbeak
Mr. and Mrs. Buckbeak
Sir
Dr. Sir
Professor Sir
Mr. Sir
Mrs. Sir
Ms. Sir
Miss Sir
Aunt Sir
Uncle Sir
Mr. and Mrs. Sir
Cadogan
Dr. Cadogan
Professor Cadogan
Mr. Cadogan
Mrs. Cadogan
Ms. Cadogan
Miss Cadogan
Aunt Cadogan
Uncle Cadogan
Mr. and Mrs. Cadogan
Crookshanks
Dr. Crookshanks
Professor Crookshanks
Mr. Crookshanks
Mrs. Crookshanks
Ms. Crookshanks
Miss Crookshanks
Aunt Crookshanks
Uncle Crookshanks
Mr. and Mrs. Crookshanks
Dobby
Dr. Dobby
Professor Dobby
Mr. Dobby
Mrs. Dobby
Ms. Dobby
Miss Dobby
Aunt Dobby
Uncle Dobby
Mr. and Mrs. Dobby
Errol
Dr. Errol
Professor Errol
Mr. Errol
Mrs. Errol
Ms. Errol
Miss Errol
Aunt Errol
Uncle Errol
Mr. and Mrs. Errol
Fang
Dr. Fang
Professor Fang
Mr. Fang
Mrs. Fang
Ms. Fang
Miss Fang
Aunt Fang
Uncle Fang
Mr. and Mrs. Fang
Fat
Dr. Fat
Professor Fat
Mr. Fat
Mrs. Fat
Ms. Fat
Miss Fat
Aunt Fat
Uncle Fat
Mr. and Mrs. Fat
Friar
Dr. Friar
Professor Friar
Mr. Friar
Mrs. Friar
Ms. Friar
Miss Friar
Aunt Friar
Uncle Friar
Mr. and Mrs. Friar
Fat
Dr. Fat
Professor Fat
Mr. Fat
Mrs. Fat
Ms. Fat
Miss Fat
Aunt Fat
Uncle Fat
Mr. and Mrs. Fat
Lady
Dr. Lady
Professor Lady
Mr. Lady
Mrs. Lady
Ms. Lady
Miss Lady
Aunt Lady
Uncle Lady
Mr. and Mrs. Lady
Fawkes
Dr. Fawkes
Professor Fawkes
Mr. Fawkes
Mrs. Fawkes
Ms. Fawkes
Miss Fawkes
Aunt Fawkes
Uncle Fawkes
Mr. and Mrs. Fawkes
Firenze
Dr. Firenze
Professor Firenze
Mr. Firenze
Mrs. Firenze
Ms. Firenze
Miss Firenze
Aunt Firenze
Uncle Firenze
Mr. and Mrs. Firenze
Fluffy
Dr. Fluffy
Professor Fluffy
Mr. Fluffy
Mrs. Fluffy
Ms. Fluffy
Miss Fluffy
Aunt Fluffy
Uncle Fluffy
Mr. and Mrs. Fluffy
Gornuk
Dr. Gornuk
Professor Gornuk
Mr. Gornuk
Mrs. Gornuk
Ms. Gornuk
Miss Gornuk
Aunt Gornuk
Uncle Gornuk
Mr. and Mrs. Gornuk
Grawp
Dr. Grawp
Professor Grawp
Mr. Grawp
Mrs. Grawp
Ms. Grawp
Miss Grawp
Aunt Grawp
Uncle Grawp
Mr. and Mrs. Grawp
Griphook
Dr. Griphook
Professor Griphook
Mr. Griphook
Mrs. Griphook
Ms. Griphook
Miss Griphook
Aunt Griphook
Uncle Griphook
Mr. and Mrs. Griphook
Hedwig
Dr. Hedwig
Professor Hedwig
Mr. Hedwig
Mrs. Hedwig
Ms. Hedwig
Miss Hedwig
Aunt Hedwig
Uncle Hedwig
Mr. and Mrs. Hedwig
Hokey
Dr. Hokey
Professor Hokey
Mr. Hokey
Mrs. Hokey
Ms. Hokey
Miss Hokey
Aunt Hokey
Uncle Hokey
Mr. and Mrs. Hokey
Kreacher
Dr. Kreacher
Professor Kreacher
Mr. Kreacher
Mrs. Kreacher
Ms. Kreacher
Miss Kreacher
Aunt Kreacher
Uncle Kreacher
Mr. and Mrs. Kreacher
Magorian
Dr. Magorian
Professor Magorian
Mr. Magorian
Mrs. Magorian
Ms. Magorian
Miss Magorian
Aunt Magorian
Uncle Magorian
Mr. and Mrs. Magorian
Great
Dr. Great
Professor Great
Mr. Great
Mrs. Great
Ms. Great
Miss Great
Aunt Great
Uncle Great
Mr. and Mrs. Great
Aunt
Dr. Aunt
Professor Aunt
Mr. Aunt
Mrs. Aunt
Ms. Aunt
Miss Aunt
Aunt Aunt
Uncle Aunt
Mr. and Mrs. Aunt
Muriel
Dr. Muriel
Professor Muriel
Mr. Muriel
Mrs. Muriel
Ms. Muriel
Miss Muriel
Aunt Muriel
Uncle Muriel
Mr. and Mrs. Muriel
Nagini
Dr. Nagini
Professor Nagini
Mr. Nagini
Mrs. Nagini
Ms. Nagini
Miss Nagini
Aunt Nagini
Uncle Nagini
Mr. and Mrs. Nagini
Nearly
Dr. Nearly
Professor Nearly
Mr. Nearly
Mrs. Nearly
Ms. Nearly
Miss Nearly
Aunt Nearly
Uncle Nearly
Mr. and Mrs. Nearly
Headless
Dr. Headless
Professor Headless
Mr. Headless
Mrs. Headless
Ms. Headless
Miss Headless
Aunt Headless
Uncle Headless
Mr. and Mrs. Headless
Nick
Dr. Nick
Professor Nick
Mr. Nick
Mrs. Nick
Ms. Nick
Miss Nick
Aunt Nick
Uncle Nick
Mr. and Mrs. Nick
Norbert
Dr. Norbert
Professor Norbert
Mr. Norbert
Mrs. Norbert
Ms. Norbert
Miss Norbert
Aunt Norbert
Uncle Norbert
Mr. and Mrs. Norbert
Peeves
Dr. Peeves
Professor Peeves
Mr. Peeves
Mrs. Peeves
Ms. Peeves
Miss Peeves
Aunt Peeves
Uncle Peeves
Mr. and Mrs. Peeves
Pigwidgeon
Dr. Pigwidgeon
Professor Pigwidgeon
Mr. Pigwidgeon
Mrs. Pigwidgeon
Ms. Pigwidgeon
Miss Pigwidgeon
Aunt Pigwidgeon
Uncle Pigwidgeon
Mr. and Mrs. Pigwidgeon
Madam
Dr. Madam
Professor Madam
Mr. Madam
Mrs. Madam
Ms. Madam
Miss Madam
Aunt Madam
Uncle Madam
Mr. and Mrs. Madam
Rosmerta
Dr. Rosmerta
Professor Rosmerta
Mr. Rosmerta
Mrs. Rosmerta
Ms. Rosmerta
Miss Rosmerta
Aunt Rosmerta
Uncle Rosmerta
Mr. and Mrs. Rosmerta
Ronan
Dr. Ronan
Professor Ronan
Mr. Ronan
Mrs. Ronan
Ms. Ronan
Miss Ronan
Aunt Ronan
Uncle Ronan
Mr. and Mrs. Ronan
Scabbers
Dr. Scabbers
Professor Scabbers
Mr. Scabbers
Mrs. Scabbers
Ms. Scabbers
Miss Scabbers
Aunt Scabbers
Uncle Scabbers
Mr. and Mrs. Scabbers
Scabior
Dr. Scabior
Professor Scabior
Mr. Scabior
Mrs. Scabior
Ms. Scabior
Miss Scabior
Aunt Scabior
Uncle Scabior
Mr. and Mrs. Scabior
Travers
Dr. Travers
Professor Travers
Mr. Travers
Mrs. Travers
Ms. Travers
Miss Travers
Aunt Travers
Uncle Travers
Mr. and Mrs. Travers
Trevor
Dr. Trevor
Professor Trevor
Mr. Trevor
Mrs. Trevor
Ms. Trevor
Miss Trevor
Aunt Trevor
Uncle Trevor
Mr. and Mrs. Trevor
Winky
Dr. Winky
Professor Winky
Mr. Winky
Mrs. Winky
Ms. Winky
Miss Winky
Aunt Winky
Uncle Winky
Mr. and Mrs. Winky
